address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2616 Morning Glory Dr,Columbia,MO,65202,199900,2114.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2616-Morning-Glory-Dr-Columbia-MO-65202/58697563_zpid/
5616 Dunmeyer Ct,Columbia,MO,65203,245000,1808.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5616-Dunmeyer-Ct-Columbia-MO-65203/103675224_zpid/
6307 Bridle Bend Dr,Columbia,MO,65201,329900,2050.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6307-Bridle-Bend-Dr-Columbia-MO-65201/103711847_zpid/
3407 Timber Run Dr,Columbia,MO,65203,204900,1610.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3407-Timber-Run-Dr-Columbia-MO-65203/2094512088_zpid/
1504 E Lexington Cir S,Columbia,MO,65203,199500,2234.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1504-E-Lexington-Cir-S-Columbia-MO-65203/58702551_zpid/
3811 Addison Dr,Columbia,MO,65203,256000,2553.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3811-Addison-Dr-Columbia-MO-65203/58703607_zpid/
3506 Timber Run Dr,Columbia,MO,65203,319900,2610.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3506-Timber-Run-Dr-Columbia-MO-65203/2093532164_zpid/
4911 Laredo Trl,Columbia,MO,65203,368000,3224.0,5.0,5.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4911-Laredo-Trl-Columbia-MO-65203/80268736_zpid/
7406 Rosedown Dr,Columbia,MO,65203,232000,1865.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7406-Rosedown-Dr-Columbia-MO-65203/80183065_zpid/
608 Old Hawthorne Dr E,Columbia,MO,65201,325000,2000.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/608-Old-Hawthorne-Dr-E-Columbia-MO-65201/122920767_zpid/
5608 Spicewood Dr,Columbia,MO,65203,379900,3036.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5608-Spicewood-Dr-Columbia-MO-65203/2093068584_zpid/
2807 Mulberry Rd,Columbia,MO,65202,94900,1200.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2807-Mulberry-Rd-Columbia-MO-65202/58713411_zpid/
800 Cutters Corner Ln,Columbia,MO,65201,435000,3510.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/800-Cutters-Corner-Ln-Columbia-MO-65201/103688260_zpid/
5101 Bethel St,Columbia,MO,65203,159900,1944.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5101-Bethel-St-Columbia-MO-65203/58712807_zpid/
208 William Smith Pl,Columbia,MO,65203,365000,2795.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/208-William-Smith-Pl-Columbia-MO-65203/2095025011_zpid/
3271 S Country Woods Rd,Columbia,MO,65203,425000,4185.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3271-S-Country-Woods-Rd-Columbia-MO-65203/58709548_zpid/
